relative_time,AccX,AccY,AccZ
11669,-0.4333488464355469,-1.3190570068359375,9.680519256591797
11734,-0.4604425048828125,-1.2982502746582032,9.776170349121093
11801,-0.5206173706054688,-1.274300079345703,9.955198059082031
11870,-0.5697152709960938,-1.199755096435547,9.825118560791017
11934,-0.6469546508789062,-1.1234138488769532,9.817334747314453
12001,-0.7047344970703125,-1.0771600341796876,9.76299774169922
12070,-0.7482939147949219,-1.0183323669433595,9.70551727294922
12134,-0.7821235656738281,-0.9892927551269531,9.68875213623047
12201,-0.7821235656738281,-1.0029144287109375,9.682465209960938
12270,-0.7565267944335938,-1.0195298767089844,9.545949096679688
12334,-0.7782316589355469,-1.094673614501953,9.751771087646485
12401,-0.7680528259277344,-1.1219169616699218,9.615404663085938
12471,-0.7574249267578126,-1.1713142395019531,9.659862213134765
12534,-0.7704478454589844,-1.2367282104492188,9.901759185791017
12601,-0.7491920471191407,-1.2410691833496095,9.879605255126954
12670,-0.729283447265625,-1.2645703125,9.943073272705078
12734,-0.6562353515625,-1.2645703125,9.805808715820312
12801,-0.6146218872070313,-1.2880714416503907,9.868677978515626
12869,-0.5291496276855469,-1.2891192626953125,9.727222137451172
12933,-0.49786468505859377,-1.32444580078125,9.97331039428711
13000,-0.4513114929199219,-1.2882211303710938,9.610015869140625
13069,-0.43888732910156253,-1.2855267333984375,9.659263458251953
13133,-0.43125320434570313,-1.2636721801757813,9.566456451416016
13200,-0.43185195922851566,-1.257235565185547,9.700427856445312
13270,-0.4581971740722656,-1.222657470703125,9.710157623291016
13333,-0.5023553466796875,-1.1756552124023438,9.631870422363281
13400,-0.5349874877929688,-1.1822415161132813,9.840237121582032
13470,-0.5926176452636719,-1.1740086364746094,9.95654525756836
13534,-0.6480024719238282,-1.1533515930175782,9.783505096435547
13600,-0.6972500610351563,-1.1558963012695314,9.807904357910157
13670,-0.7334747314453125,-1.16158447265625,9.772128753662109
13734,-0.7455995178222656,-1.1654763793945313,9.654024353027344
13801,-0.7665559387207032,-1.1512559509277345,9.707762603759766
13870,-0.7970924377441406,-1.1838880920410157,9.895023193359375
13934,-0.7619155883789063,-1.1478131103515625,9.515562286376953
14001,-0.7863148498535156,-1.1861334228515625,9.755662994384766
14070,-0.7976911926269532,-1.2163705444335937,9.787097625732422
14134,-0.7976911926269532,-1.2651690673828127,9.962832183837891
14201,-0.7620652770996094,-1.2769944763183594,9.803114318847657
14269,-0.7158114624023438,-1.2952565002441407,9.845326538085938
14334,-0.6204597473144532,-1.28133544921875,9.765692138671875
14401,-0.561482391357422,-1.256038055419922,9.682016143798828
14470,-0.5237608337402344,-1.2521461486816408,9.85984634399414
14534,-0.48529083251953126,-1.2163705444335937,9.861343231201172
14601,-0.4834945678710938,-1.1840377807617188,9.795031127929688
14670,-0.4800517272949219,-1.1343411254882814,9.403445434570314
14734,-0.4977149963378906,-1.1518547058105468,9.664053497314454
14801,-0.4712200927734375,-1.1404783630371094,9.595046997070312
14870,-0.49067962646484375,-1.1707154846191408,9.776170349121093
14934,-0.4724176025390625,-1.1520043945312501,9.64564178466797
15000,-0.49831375122070315,-1.1451187133789062,9.650731201171876
15067,-0.5599855041503906,-1.1695179748535156,9.871372375488281
15134,-0.6246510314941407,-1.137783966064453,9.666598205566407
15201,-0.7502398681640625,-1.217867431640625,10.08497817993164
15270,-0.7622149658203126,-1.2091854858398439,9.758507080078125
15334,-0.7667056274414062,-1.230890350341797,9.72572525024414
15401,-0.7696994018554688,-1.2855267333984375,9.790091400146485
15470,-0.7447013854980469,-1.2737013244628907,9.528285827636719
15534,-0.7355703735351563,-1.3525872802734376,9.871821441650392
15600,-0.7223977661132813,-1.3413606262207032,9.810149688720704
15671,-0.7640112304687501,-1.332678680419922,9.735155639648438
15734,-0.7679031372070313,-1.299148406982422,9.612859954833985
15801,-0.7937992858886719,-1.3251942443847657,9.953252105712892
15870,-0.7405101013183594,-1.2581336975097657,9.790690155029298
15934,-0.689615936279297,-1.2421170043945313,9.8339501953125
16001,-0.6039939880371094,-1.2228071594238281,9.966724090576172
16070,-0.5260061645507813,-1.1918215942382813,9.789642333984375
16134,-0.4939727783203125,-1.1549981689453126,9.731563110351564
16201,-0.4604425048828125,-1.1079959106445314,9.459878082275392
16270,-0.4870870971679688,-1.0996133422851564,9.647438049316406
16334,-0.5150788879394531,-1.0936257934570313,9.648186492919923
16401,-0.5358856201171875,-1.0734178161621095,9.626331939697266
16470,-0.5345384216308594,-1.0535092163085937,9.623936920166017
16534,-0.5574407958984375,-1.0818003845214845,9.69788314819336
16601,-0.5492079162597656,-1.086141357421875,9.603279876708985
16670,-0.5530998229980469,-1.1413764953613281,9.712253265380859
16734,-0.6059399414062501,-1.2319381713867188,10.015522613525391
16801,-0.6360273742675782,-1.2612771606445312,9.909393310546875
16871,-0.6864724731445313,-1.3165122985839846,9.814939727783203
16934,-0.7295828247070313,-1.3524375915527345,9.777667236328126
17001,-0.74964111328125,-1.3705499267578125,9.793833618164063
17070,-0.7542814636230469,-1.392703857421875,9.802066497802734
17134,-0.750838623046875,-1.3849200439453127,9.724976806640626
17201,-0.7361691284179688,-1.385518798828125,9.847122802734376
17270,-0.7026388549804687,-1.3454022216796875,9.69159622192383
17334,-0.7128176879882813,-1.3238470458984375,9.74338851928711
17401,-0.7068301391601562,-1.299148406982422,9.817334747314453
17471,-0.7093748474121094,-1.2765454101562501,9.892179107666015
17534,-0.6905140686035156,-1.240470428466797,9.825867004394532
17601,-0.6752458190917969,-1.2018507385253907,9.821825408935547
17670,-0.6197113037109375,-1.1470646667480469,9.671687622070314
17734,-0.5773493957519532,-1.1006611633300782,9.609566802978517
17801,-0.5301974487304688,-1.0496173095703125,9.63321762084961
17870,-0.5110372924804688,-1.0232720947265626,9.662855987548829
17934,-0.511336669921875,-1.0029144287109375,9.60732147216797
18001,-0.513731689453125,-0.975820770263672,9.387578430175783
18070,-0.5767506408691406,-1.0496173095703125,9.789043579101563
18134,-0.5867797851562501,-1.0794053649902344,9.689650268554688
18200,-0.5836363220214844,-1.1415261840820312,9.732012176513672
18270,-0.5960604858398438,-1.1940669250488283,9.77123062133789
18334,-0.6001020812988281,-1.2886701965332032,9.97525634765625
18401,-0.6165678405761719,-1.3205538940429689,9.941726074218751
